epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,2822.83,1.17845,1.58922,1.73706,1.19755,0,0.35981,0.43526,0.36448,0.22861,0.35043,0.41635,0.34284,0.19182,1.26128,1.69115,1.94536,1.27251,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,2923.41,1.16897,1.59532,1.71481,1.18935,0,0.35029,0.45867,0.41057,0.26661,0.34546,0.45043,0.39615,0.21852,1.27046,1.69344,1.91951,1.27364,0,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,3023.32,1.16628,1.58745,1.70645,1.1779,0,0.48418,0.37257,0.42395,0.27811,0.45005,0.38545,0.40528,0.2235,1.23758,1.6668,1.89149,1.25343,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,3123.48,1.14316,1.57236,1.67292,1.17148,0,0.41231,0.43267,0.39711,0.25764,0.44223,0.39833,0.37939,0.21277,1.25003,1.65452,1.86525,1.26003,0,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,3223.74,1.13282,1.54247,1.68796,1.17135,0,0.32401,0.55704,0.39978,0.2549,0.36033,0.49471,0.37074,0.20046,1.23553,1.68953,1.86751,1.25891,0,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,3323.63,1.10813,1.53157,1.60887,1.14767,0,0.43288,0.45465,0.40552,0.2517,0.42993,0.44111,0.39043,0.21076,1.23056,1.67298,1.87431,1.25295,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,3423.71,1.1103,1.5273,1.57744,1.14918,0,0.40725,0.44726,0.39772,0.25478,0.40328,0.43378,0.38581,0.21516,1.21867,1.63559,1.86645,1.24355,0,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,3524.1,1.10587,1.52608,1.5891,1.15818,0,0.41312,0.44731,0.39066,0.25673,0.4023,0.43307,0.37507,0.21411,1.2241,1.6586,1.88009,1.2699,0,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,3623.77,1.10876,1.50082,1.53559,1.15055,0,0.37025,0.48484,0.39649,0.25427,0.36442,0.45265,0.368,0.19945,1.22696,1.65018,1.85811,1.25314,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,3723.4,1.07868,1.46465,1.51722,1.13204,0,0.47832,0.40049,0.39422,0.24763,0.47499,0.3908,0.38308,0.20742,1.23565,1.6717,1.91069,1.26725,0,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
